,initial_gdp_share,gdp_per_capita_1990,gdpper_diff,initial_population,color,cum_gdp_share
Colombia,0.5861483363020297,6164.671232755096,21.6670524335669,34872.95412299998,#A9A9A9,85.85090961914602
Portugal,0.43334575164322375,16060.755802897504,21.8478890327682,9895.999996000002,#fdbf71,86.28425537078925
Hong Kong,0.4099812692544573,26359.523376250912,21.892882951506653,5704.5,#ea5739,86.69423664004371
Guatemala,0.08619051285013479,3548.8642960797224,21.953541551892293,8907.609999,#bde2ee,86.78042715289385
Vietnam,0.18058042322169737,1000.4693750100445,22.000544650339236,66200.000001,#6399c7,86.96100757611555
Macau,0.023092922726770618,22758.93843755498,22.123641129759285,372.15,#fdbf71,86.98410049884232
Cyprus,0.02947438403724346,18641.581350638273,22.178642229487497,579.9000009999999,#fdbf71,87.01357488287957
Somalia,0.013348946779222036,728.9322272113938,22.186466486781747,6716.622998,#6399c7,87.02692382965878
Togo,0.010465985013989956,969.1679925703074,22.436548904729687,3960.7020010000006,#6399c7,87.03738981467278
Benin,0.016701681903234726,1182.7227366848801,22.501059067765866,5179.268002000001,#6399c7,87.054091496576
Panama,0.04234976034955051,6442.604047154254,22.522100782102296,2410.9079999999994,#A9A9A9,87.09644125692556
Malaysia,0.35158769875558876,7123.051132075973,22.570307320829585,18103.340995,#A9A9A9,87.44802895568115
Philippines,0.4349990620240098,2605.8160459808364,23.15735505378734,61225.971997999986,#6399c7,87.88302801770516
Nigeria,0.4329382262437504,1681.107079038391,23.25819120102662,94454.28799500002,#6399c7,88.3159662439489
Ghana,0.04144904015176164,975.791535355174,23.27078810023973,15579.321998000003,#6399c7,88.35741528410067
Cambodia,0.020312527592494852,768.2301739146795,23.29276457429676,9697.588001,#6399c7,88.37772781169316
Costa Rica,0.055224524111747844,6585.399049171038,23.35657799214057,3075.679001,#A9A9A9,88.43295233580491
Cape Verde,0.0016209558455631179,1673.231757043179,23.51136106104677,355.3089999999999,#6399c7,88.43457329165048
Bolivia,0.054848863596317,3016.593072288779,23.627066162980874,6668.712991999999,#bde2ee,88.4894221552468
Taiwan,0.7219041145788903,13056.446798544237,23.67587674921642,20278.958000000002,#fdbf71,89.21132626982569
Cuba,0.26611739238660786,9203.595368768436,23.903362770585684,10604.907003000004,#A9A9A9,89.4774436622123
India,3.1164940213738155,1345.8809322893303,24.071066939029713,849279.7711649998,#6399c7,92.5939376835861
Bahamas,0.01599475590384085,22990.278348957425,24.15406434923283,255.16700099999997,#fdbf71,92.60993243948995
Nicaragua,0.022659129761855745,2006.9553844767286,24.282225903339754,4140.918000000001,#6399c7,92.63259156925182
Honduras,0.03823919388545757,2867.3997769230828,24.422940967192844,4891.156999999998,#6399c7,92.67083076313727
Lebanon,0.04780437481273483,5894.821180696689,24.575545696057137,2974.323001,#bde2ee,92.71863513795002
